variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,1,42,test,13641,271,1.194628900955305,2.5220984551509966,1.5324932214864586,0.975397270729886
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,1,2025,test,13641,271,1.1563395121887399,2.522764701672654,1.4931408369512453,0.9753842707236552
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,1,20260623,test,13641,271,1.1619693847735297,2.5159451293072603,1.4984414794193446,0.9755171740058826
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,1,20260715,test,13641,271,1.1645033523040913,2.5095888983154238,1.5029620241687773,0.9756407235379353
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,1,20260718,test,13641,271,1.1637247967632058,2.506606077970266,1.4984185668460483,0.9756985945024897
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,3,42,test,13539,269,1.4073290782931942,2.83499581438471,1.838524452940657,0.9688278156647007
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,3,2025,test,13539,269,1.421765662269208,2.8241961058458194,1.850543396177472,0.9690648596003125
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,3,20260623,test,13539,269,1.4244715538206165,2.8318090911231018,1.854768061620273,0.9688978554818145
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,3,20260715,test,13539,269,1.3944295520887193,2.817599728379695,1.8242576250043965,0.9692091991203826
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,3,20260718,test,13539,269,1.3932205844477834,2.8285771012829852,1.8201758365999676,0.9689688097363306
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,6,42,test,13387,266,1.4872926561722186,2.870572049903663,1.931181429916549,0.9679929912405044
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,6,2025,test,13387,266,1.4755648972138546,2.8705366070796012,1.9231854461300903,0.9679937816138218
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,6,20260623,test,13387,266,1.5095473863033626,2.904156898636104,1.9577894646213518,0.9672396648432585
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,6,20260715,test,13387,266,1.5238901376670817,2.911441777256099,1.9693790997264033,0.967075104595002
A0_full_fusion,A0_full_fusion_xgboost_frozen_anchor,6,20260718,test,13387,266,1.5038806275368473,2.885937390156613,1.9512725553714412,0.9676494257078295
A1_without_rainfall,A1_without_rainfall_xgboost,1,42,test,13641,271,1.134666578090893,2.492101245171607,1.466645533528366,0.9759790278471027
A1_without_rainfall,A1_without_rainfall_xgboost,1,2025,test,13641,271,1.1264266492555914,2.4844717655596398,1.4553197838080925,0.9761258814182818
A1_without_rainfall,A1_without_rainfall_xgboost,1,20260623,test,13641,271,1.119921466674611,2.4880035471485535,1.4498521795789006,0.9760579570372923
A1_without_rainfall,A1_without_rainfall_xgboost,1,20260715,test,13641,271,1.1362045124024964,2.4982684603174987,1.4693649868563758,0.9758599911040677
A1_without_rainfall,A1_without_rainfall_xgboost,1,20260718,test,13641,271,1.1430014813572325,2.4930342903521185,1.474783166598377,0.9759610375282891
A1_without_rainfall,A1_without_rainfall_xgboost,3,42,test,13539,269,1.374893980887715,2.7958373328105175,1.792262046667616,0.9696830022765739
A1_without_rainfall,A1_without_rainfall_xgboost,3,2025,test,13539,269,1.36634516777168,2.7959382159510433,1.7846540017663517,0.9696808143602128
A1_without_rainfall,A1_without_rainfall_xgboost,3,20260623,test,13539,269,1.3661442055338158,2.798908189410313,1.785184546677188,0.9696163672975004
A1_without_rainfall,A1_without_rainfall_xgboost,3,20260715,test,13539,269,1.4157875407595288,2.8222073473661884,1.836716858459229,0.9691084124265636
A1_without_rainfall,A1_without_rainfall_xgboost,3,20260718,test,13539,269,1.3869807847925544,2.8069938200395868,1.8123238209454557,0.9694405661151424
A1_without_rainfall,A1_without_rainfall_xgboost,6,42,test,13387,266,1.4513736453860977,2.8649825904337414,1.9012029645352682,0.9681175153422718
A1_without_rainfall,A1_without_rainfall_xgboost,6,2025,test,13387,266,1.4290533398101328,2.846440104948058,1.8667938217720539,0.9685288738042939
A1_without_rainfall,A1_without_rainfall_xgboost,6,20260623,test,13387,266,1.459762167902701,2.8793090785284945,1.9166947293951464,0.9677978582008541
A1_without_rainfall,A1_without_rainfall_xgboost,6,20260715,test,13387,266,1.5074689640614982,2.905952998708156,1.9550857928747987,0.9671991305073434
A1_without_rainfall,A1_without_rainfall_xgboost,6,20260718,test,13387,266,1.4116738089319272,2.8466090883228925,1.8471540082243605,0.968525137027986
A2_without_meteorology,A2_without_meteorology_xgboost,1,42,test,13641,271,1.1766010313227715,2.507145721398438,1.5102884331633475,0.9756881297505337
A2_without_meteorology,A2_without_meteorology_xgboost,1,2025,test,13641,271,1.2041115102811522,2.530946741248075,1.5435287310535264,0.9752243402468161
A2_without_meteorology,A2_without_meteorology_xgboost,1,20260623,test,13641,271,1.2025286098957773,2.5182032379564347,1.5389048021615674,0.9754732066791663
A2_without_meteorology,A2_without_meteorology_xgboost,1,20260715,test,13641,271,1.1811544513369143,2.5073595563439786,1.5177232118378208,0.9756839824454077
A2_without_meteorology,A2_without_meteorology_xgboost,1,20260718,test,13641,271,1.175957799051624,2.511355114497912,1.5106201336900782,0.9756064239854559
A2_without_meteorology,A2_without_meteorology_xgboost,3,42,test,13539,269,1.4152085197732929,2.8183961613602717,1.8409115543110737,0.969191789780848
A2_without_meteorology,A2_without_meteorology_xgboost,3,2025,test,13539,269,1.4334287512369024,2.8316472402325554,1.856763212094525,0.9689014106409165
A2_without_meteorology,A2_without_meteorology_xgboost,3,20260623,test,13539,269,1.376887703200171,2.796437354166518,1.793671016563221,0.9696699880730214
A2_without_meteorology,A2_without_meteorology_xgboost,3,20260715,test,13539,269,1.4035070771741576,2.8080220467305903,1.82631343049612,0.9694181736321658
A2_without_meteorology,A2_without_meteorology_xgboost,3,20260718,test,13539,269,1.3804951493355073,2.814116101282392,1.8079494667296117,0.9692852903819095
A2_without_meteorology,A2_without_meteorology_xgboost,6,42,test,13387,266,1.4682994518345092,2.869749789090166,1.910039420328253,0.9680113251051545
A2_without_meteorology,A2_without_meteorology_xgboost,6,2025,test,13387,266,1.4611254247855991,2.8706493061195686,1.900299029088381,0.9679912683966874
A2_without_meteorology,A2_without_meteorology_xgboost,6,20260623,test,13387,266,1.4959285080591695,2.900109832004075,1.948599670195912,0.9673309070754623
A2_without_meteorology,A2_without_meteorology_xgboost,6,20260715,test,13387,266,1.4847715184655383,2.8849624407969188,1.9256485978139553,0.9676712798507703
A2_without_meteorology,A2_without_meteorology_xgboost,6,20260718,test,13387,266,1.4349524176389983,2.8577955983562333,1.8683782203386041,0.9682772732132516
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,1,42,test,13641,271,1.135464472039291,2.534533460015155,1.4754459107420026,0.9751540690803264
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,1,2025,test,13641,271,1.1111806842986751,2.511912425854207,1.4432117211343423,0.975595596105868
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,1,20260623,test,13641,271,1.1190646364504595,2.517511270248253,1.4545387473332256,0.9754866840799619
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,1,20260715,test,13641,271,1.1140197662554117,2.5089930262501836,1.4451355514507898,0.9756522898061589
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,1,20260718,test,13641,271,1.1264762675206081,2.5218503059292643,1.4614406492470942,0.9754021118158996
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,3,42,test,13539,269,1.344475913156384,2.7882950337199373,1.7811870290066547,0.969846353294961
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,3,2025,test,13539,269,1.3495385877355344,2.7933135275927956,1.785794794924312,0.969737711941847
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,3,20260623,test,13539,269,1.336771099269867,2.7753283075840116,1.7689162906111267,0.9701261550605174
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,3,20260715,test,13539,269,1.3430535258402028,2.7846101749194063,1.7743298054782544,0.9699259994653623
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,3,20260718,test,13539,269,1.3535613987750301,2.8057115293529287,1.7912445390532636,0.9694684800540262
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,6,42,test,13387,266,1.4269072019188014,2.9000613966258815,1.8771628893174341,0.9673319982938983
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,6,2025,test,13387,266,1.4133713722015286,2.8779272849533757,1.8544431811058266,0.9678287586942308
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,6,20260623,test,13387,266,1.4210549111937487,2.8856545910505584,1.8690526839698054,0.9676557655995198
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,6,20260715,test,13387,266,1.431300479270278,2.9060803810201503,1.8830855939165483,0.9671962547951967
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,6,20260718,test,13387,266,1.4239462836924215,2.905659809833048,1.8735375001657621,0.9672057488971793
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,1,42,test,13641,271,1.0764976303286646,2.49095048907579,1.4073850929182192,0.9760012066394911
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,1,2025,test,13641,271,1.072347976076426,2.4941519693338208,1.4014292423207393,0.9759394783657006
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,1,20260623,test,13641,271,1.072168765415169,2.493856794468883,1.4005909103733936,0.9759451729994343
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,1,20260715,test,13641,271,1.0786276609891845,2.499625542305764,1.4081922513223826,0.9758337578392718
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,1,20260718,test,13641,271,1.0662079054667906,2.4910080688378455,1.3970453958156925,0.9760000971346748
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,3,42,test,13539,269,1.2963138648037673,2.75388322169394,1.71372632836674,0.970586044446712
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,3,2025,test,13539,269,1.3073733371402427,2.758250377825442,1.7279323835731104,0.9704926801466633
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,3,20260623,test,13539,269,1.3278119927674519,2.76727445073909,1.7494475598721952,0.9702992881389325
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,3,20260715,test,13539,269,1.2980293663125018,2.7434749834249277,1.7134145563668237,0.9708079630210288
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,3,20260718,test,13539,269,1.3031014304171988,2.763705496583501,1.7250076241443049,0.9703758487594938
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,6,42,test,13387,266,1.5331566957621126,2.979350525567611,1.9886201697905437,0.9655212598577045
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,6,2025,test,13387,266,1.5260339297109893,2.972605801363231,1.9758659961753147,0.9656771907329377
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,6,20260623,test,13387,266,1.5311997181657853,2.968952886496968,1.9834938522386376,0.9657614947223928
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,6,20260715,test,13387,266,1.5168354614117994,2.9651431884644177,1.9680247847493295,0.965849306609809
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,6,20260718,test,13387,266,1.5069241853792208,2.9681172375798277,1.956267105039749,0.9657807657209161
A5_without_reliability,A5_without_reliability_xgboost,1,42,test,13641,271,1.2098686244175891,2.554003294155443,1.5519942536004758,0.974770878889642
A5_without_reliability,A5_without_reliability_xgboost,1,2025,test,13641,271,1.2442685517299281,2.5742401816401643,1.5920963276533453,0.9743694842498526
A5_without_reliability,A5_without_reliability_xgboost,1,20260623,test,13641,271,1.2110514826285559,2.56700796456507,1.552362552226378,0.9745132976102663
A5_without_reliability,A5_without_reliability_xgboost,1,20260715,test,13641,271,1.2077432916803106,2.5575928087339617,1.5507695508181576,0.9746999127032977
A5_without_reliability,A5_without_reliability_xgboost,1,20260718,test,13641,271,1.2128431841223843,2.568072727372969,1.5565057534833089,0.9744921500943411
A5_without_reliability,A5_without_reliability_xgboost,3,42,test,13539,269,1.3928619558515285,2.8177139932682485,1.8100039574502462,0.9692067016905765
A5_without_reliability,A5_without_reliability_xgboost,3,2025,test,13539,269,1.3954327924871948,2.8372028813503656,1.8174290383295308,0.9687792611812907
A5_without_reliability,A5_without_reliability_xgboost,3,20260623,test,13539,269,1.4109253380121753,2.8427986112229613,1.8420497051931748,0.9686559882898381
A5_without_reliability,A5_without_reliability_xgboost,3,20260715,test,13539,269,1.369558404310652,2.8022929339530624,1.7849487493901355,0.9695428364696328
A5_without_reliability,A5_without_reliability_xgboost,3,20260718,test,13539,269,1.4045771236407,2.837879520151074,1.8266005057077948,0.9687643678633265
A5_without_reliability,A5_without_reliability_xgboost,6,42,test,13387,266,1.5048017017264486,2.9030441990637863,1.9588449302622961,0.9672647636440438
A5_without_reliability,A5_without_reliability_xgboost,6,2025,test,13387,266,1.433871367331452,2.863274782174299,1.872150816976575,0.9681555141366177
A5_without_reliability,A5_without_reliability_xgboost,6,20260623,test,13387,266,1.507267138071113,2.8966350716595626,1.9584360325964212,0.9674091449836256
A5_without_reliability,A5_without_reliability_xgboost,6,20260715,test,13387,266,1.4785601053522632,2.876225132616366,1.920168211748359,0.9678668028517968
A5_without_reliability,A5_without_reliability_xgboost,6,20260718,test,13387,266,1.4698522451534735,2.871054808634519,1.9094664120348759,0.9679822247716954
A6_without_road_context,A6_without_road_context_xgboost,1,42,test,13641,271,1.213936109477362,2.529475623951066,1.5528440683479974,0.975253133668906
A6_without_road_context,A6_without_road_context_xgboost,1,2025,test,13641,271,1.1949036217998923,2.5394504998633765,1.5352797185172469,0.9750575724754957
A6_without_road_context,A6_without_road_context_xgboost,1,20260623,test,13641,271,1.165347343321592,2.5188494642585715,1.5007989277579457,0.9754606168354054
A6_without_road_context,A6_without_road_context_xgboost,1,20260715,test,13641,271,1.2169314139464282,2.539428143360358,1.5576471138357901,0.9750580116437344
A6_without_road_context,A6_without_road_context_xgboost,1,20260718,test,13641,271,1.2051428158821615,2.527483341330027,1.5428228028805844,0.9752921009039861
A6_without_road_context,A6_without_road_context_xgboost,3,42,test,13539,269,1.42471057326361,2.836799129300507,1.858402361828641,0.9687881463692072
A6_without_road_context,A6_without_road_context_xgboost,3,2025,test,13539,269,1.434980259532869,2.8323662636801052,1.8658766735324597,0.9688856152737771
A6_without_road_context,A6_without_road_context_xgboost,3,20260623,test,13539,269,1.4412980277420255,2.833352761103339,1.8681862803159712,0.9688639375648793
A6_without_road_context,A6_without_road_context_xgboost,3,20260715,test,13539,269,1.4230436828712458,2.8227841007371266,1.8528714799763024,0.9690957849717956
A6_without_road_context,A6_without_road_context_xgboost,3,20260718,test,13539,269,1.4460267365030155,2.83867151100115,1.8745608261357196,0.9687469310506357
A6_without_road_context,A6_without_road_context_xgboost,6,42,test,13387,266,1.5011588830687377,2.885880889586052,1.94391921992437,0.9676506924075294
A6_without_road_context,A6_without_road_context_xgboost,6,2025,test,13387,266,1.4749829906542364,2.8730660391062948,1.9180955590167188,0.9679373508946723
A6_without_road_context,A6_without_road_context_xgboost,6,20260623,test,13387,266,1.5172222681620906,2.9153858634583947,1.9699616413430285,0.9669858384551442
A6_without_road_context,A6_without_road_context_xgboost,6,20260715,test,13387,266,1.5413051408320462,2.9177989639425466,1.9867192104173936,0.9669311633874834
A6_without_road_context,A6_without_road_context_xgboost,6,20260718,test,13387,266,1.5026627240031722,2.8765496050674164,1.9462312489059714,0.9678595524281579
